--ASCII CONVERSION--
Dec      Bin      Symbol
65		01000001	A	
66		01000010	B	
67		01000011	C	
68		01000100	D	
69		01000101	E	
70		01000110	F	
71		01000111	G	
72		01001000	H	
73		01001001	I	
74	    01001010	J	
75		01001011	K	
76		01001100	L	
77		01001101	M	
78		01001110	N	
79		01001111	O	
80		01010000	P	
81		01010001	Q	
82		01010010	R	
83		01010011	S	
84		01010100	T	
85		01010101	U	
86		01010110	V	
87		01010111	W	
88		01011000	X	
89		01011001	Y	
90		01011010	Z	

97		01100001	a	
98		01100010	b	
99		01100011	c	
100		01100100	d	
101		01100101	e	
102		01100110	f	
103		01100111	g	
104		01101000	h	
105		01101001	i	
106		01101010	j	
107		01101011	k	
108		01101100	l	
109		01101101	m	
110		01101110	n	
111		01101111	o	
112		01110000	p	
113		01110001	q	
114		01110010	r	
115		01110011	s	
116		01110100	t	
117		01110101	u	
118		01110110	v	
119		01110111	w	
120		01111000	x	
121		01111001	y	
122		01111010	z	

126		01111110	~	
47		00101111	/	
46		00101110	.
